y,oof_random_forest,oof_xgboost,oof_lightgbm
1,0.9675,0.9997896552085876,0.9999994896530058
1,0.995,0.999942421913147,0.999999852195894
1,0.92,0.9993447661399841,0.9999997027969725
1,0.9975,0.9999586343765259,0.9999999941470843
1,0.9925,0.9999457597732544,0.999999999241215
1,0.9125,0.9995934367179871,0.9999997664692407
1,0.995,0.9999665021896362,0.9999998201438539
1,0.9925,0.9999196529388428,0.9999999677041788
1,0.99,0.9999918937683105,0.9999999948753309
1,0.9425,0.9998944997787476,0.9999998606990782
1,0.9575,0.9995520710945129,0.9999990577090534
1,0.9625,0.9997584223747253,0.9999988885879261
1,0.985,0.9978758096694946,0.999987787033591
1,0.9525,0.9713141322135925,0.9998107379718905
1,0.935,0.9999459981918335,0.9999999748634667
1,0.9875,0.9999444484710693,0.9999999955916621
1,0.995,0.999942421913147,0.999999852195894
1,0.99,0.9991474151611328,0.9999975526967418
1,0.9425,0.855324923992157,0.9924776923095632
1,0.9475,0.9999678134918213,0.9999997003581959
1,0.98,0.9999953508377075,0.9999999925825371
1,0.9375,0.9995808005332947,0.9999865849151761
1,0.99,0.9996247291564941,0.9999986630572051
1,0.995,0.9998281002044678,0.9999999176505213
1,0.87,0.9924938678741455,0.9999714606512583
1,0.9275,0.9999938011169434,0.9999999927003691
1,0.995,0.999942421913147,0.999999852195894
1,0.755,0.9656779766082764,0.9981352010580073
1,1.0,0.9999943971633911,0.9999999860288395
1,0.99,0.999987006187439,0.9999999970287878
1,0.95,0.9995623230934143,0.9999967871355829
1,0.85,0.9997674822807312,0.9999974405045113
1,0.95,0.9999216794967651,0.9999997448394573
1,0.9075,0.9998719692230225,0.9999999727410068
1,0.9975,0.999990701675415,0.9999999199900302
1,0.8025,0.998971700668335,0.9999389078176566
1,0.6775,0.9924141764640808,0.9995738378182408
1,0.995,0.999942421913147,0.999999852195894
1,0.975,0.9999339580535889,0.9999998154652562
1,0.9875,0.9999444484710693,0.9999999955916621
1,0.925,0.9879739284515381,0.9999946667463606
1,0.9925,0.9998887777328491,0.9999993679118363
1,0.425,0.847359299659729,0.9481610857456876
1,0.9175,0.9934200644493103,0.9999241746262452
1,0.97,0.9999768733978271,0.9999999862506193
1,0.71,0.9646469950675964,0.9894057671422198
1,0.93,0.9994226694107056,0.9999954308393049
1,1.0,0.999997615814209,0.9999999998279081
1,0.9375,0.9977165460586548,0.9999894954821079
1,0.95,0.9999250173568726,0.9999999026740026
1,0.505,0.8373846411705017,0.9901578237073724
1,0.995,0.999942421913147,0.999999852195894
1,0.975,0.9999799728393555,0.9999999811152892
1,0.9075,0.9936163425445557,0.9999918465095112
1,0.9975,0.9999886751174927,0.9999999965629796
1,0.9425,0.855324923992157,0.9924776923095632
1,1.0,0.9999959468841553,0.9999999988399721
1,0.9375,0.9994113445281982,0.9999982770782769
1,0.885,0.9969045519828796,0.9999966167347322
1,0.9375,0.9995808005332947,0.9999865849151761
1,1.0,0.9999638795852661,0.999999724112518
1,0.945,0.9994895458221436,0.999999719873203
1,0.9875,0.9999747276306152,0.9999999735443128
1,0.028417530919796534,0.012476122006773949,0.00010298626628192299
1,0.2,0.00769145367667079,8.230614273654232e-05
1,1.0,0.9999505281448364,0.9999999985981116
1,0.515,0.9646270275115967,0.951978002046397
1,0.7925,0.9670949578285217,0.9630590104104154
1,0.9425,0.855324923992157,0.9924776923095632
1,0.735,0.9915587902069092,0.9999731908616368
1,0.9975,0.9998992681503296,0.9999999346862805
1,0.99,0.9996247291564941,0.9999986630572051
1,0.9025,0.9999313354492188,0.9999999273765392
1,0.995,0.9999748468399048,0.9999998143124406
1,0.92,0.9993447661399841,0.9999997027969725
1,0.965,0.9983924031257629,0.9999981828826491
1,0.955,0.9999715089797974,0.9999999106692883
1,1.0,0.9999966621398926,0.999999997228044
1,0.855,0.9924637079238892,0.9999984579703978
1,0.9925,0.9997393488883972,0.999999912494813
1,0.9575,0.9998958110809326,0.9999999799764738
1,0.995,0.9998281002044678,0.9999999176505213
1,0.7375,0.9981018900871277,0.9999929772941978
1,0.9425,0.9982737302780151,0.999998114697309
1,0.8625,0.9900381565093994,0.9999343478473945
1,0.99,0.9999918937683105,0.9999999948753309
1,0.9825,0.9999947547912598,0.9999999765564737
1,0.865,0.8491706848144531,0.9953082416574248
1,0.62,0.9816188216209412,0.9999256956274485
1,0.9675,0.9997896552085876,0.9999994896530058
1,0.9375,0.9994113445281982,0.9999982770782769
1,0.935,0.999964714050293,0.9999998335449203
1,0.995,0.999922513961792,0.9999999124951281
1,0.9975,0.9999762773513794,0.9999999947131539
1,0.9875,0.9999146461486816,0.999999982036048
1,0.9875,0.9999700784683228,0.9999999946279554
1,0.29,0.4716455340385437,0.09030719528146859
1,0.945,0.9994895458221436,0.999999719873203
1,0.99,0.9999843835830688,0.999999998836389
1,0.9275,0.9999938011169434,0.9999999927003691
1,0.9075,0.9998719692230225,0.9999999727410068
1,0.9575,0.9980937838554382,0.9999860997180521
1,0.9975,0.9999586343765259,0.9999999941470843
1,0.995,0.999933123588562,0.9999999302022144
1,0.9975,0.9999632835388184,0.9999995278412488
1,1.0,0.999901533126831,0.9999999853265165
1,0.94,0.9996022582054138,0.9999995841213638
1,0.94,0.9971795082092285,0.9999765185561817
1,0.4325,0.11885593086481094,0.2894616790511306
1,0.9975,0.9999711513519287,0.9999999959019581
1,1.0,0.9999445676803589,0.9999999923768567
1,0.99,0.9999805688858032,0.9999999872876332
1,0.9425,0.9996273517608643,0.9999994495578838
1,0.9925,0.9996956586837769,0.9999998929058486
1,0.7075,0.9951283931732178,0.9998159915316903
1,0.65,0.9918357729911804,0.9996968871055145
1,0.975,0.9999339580535889,0.9999998154652562
1,0.995,0.999922513961792,0.9999999124951281
1,0.9275,0.9805688858032227,0.9996694473533302
1,0.995,0.999942421913147,0.999999852195894
1,0.995,0.9999681711196899,0.9999999688058882
1,1.0,0.9999876022338867,0.9999999948633436
1,0.2,0.10945962369441986,0.0010079253735244327
1,1.0,0.999997615814209,0.9999999998279081
1,0.91,0.9996322393417358,0.9999407048270872
1,0.995,0.9998781681060791,0.9999998250092295
1,0.8775,0.9970635771751404,0.9999981553491434
1,0.9075,0.9998719692230225,0.9999999727410068
1,0.9575,0.9995520710945129,0.9999990577090534
1,0.985,0.9998239874839783,0.9999996654170116
1,0.995,0.9998996257781982,0.9999996530788069
1,0.6775,0.9924141764640808,0.9995738378182408
1,0.71,0.9646469950675964,0.9894057671422198
1,0.9875,0.9999744892120361,0.9999990406453543
1,0.955,0.998934805393219,0.999997428444005
1,0.995,0.9999927282333374,0.9999999782853921
1,0.995,0.999942421913147,0.999999852195894
1,0.615,0.9615001678466797,0.9944015213124091
1,1.0,0.9997904896736145,0.9999999319281356
1,0.995,0.999954104423523,0.9999999726016094
1,0.975,0.9999339580535889,0.9999998154652562
1,1.0,0.9999873638153076,0.9999999992732478
1,1.0,0.9992408752441406,0.9999994291244544
1,1.0,0.9999889135360718,0.999999965203692
1,0.9675,0.9999697208404541,0.9999999132999848
1,0.985,0.9999783039093018,0.9999999864187836
1,0.71,0.9993725419044495,0.9999961953012433
1,0.6325,0.6631504893302917,0.704637808527151
1,0.99,0.9999145269393921,0.9999998548723863
1,0.8225,0.9999455213546753,0.9999995149825834
1,0.9675,0.9999697208404541,0.9999999132999848
1,0.8025,0.998971700668335,0.9999389078176566
1,0.42,0.9742621183395386,0.9996010987676504
1,0.99,0.9999805688858032,0.9999999872876332
1,0.855,0.9978275895118713,0.9989050088887428
1,1.0,0.9999257326126099,0.9999998317258582
1,0.995,0.9999927282333374,0.9999999782853921
1,0.9425,0.855324923992157,0.9924776923095632
1,0.8975,0.9975016713142395,0.999990148429603
1,0.9075,0.9996722936630249,0.9999998113993487
1,0.4875,0.68817138671875,0.8602589665088802
1,0.9275,0.9999938011169434,0.9999999927003691
1,0.9275,0.9999938011169434,0.9999999927003691
1,0.9975,0.9994977712631226,0.9999991789379872
1,0.995,0.999942421913147,0.999999852195894
1,0.9875,0.9999011754989624,0.9999998643315142
1,0.995,0.9998281002044678,0.9999999176505213
1,0.9975,0.9997273087501526,0.9999999689147497
1,0.99,0.9999779462814331,0.9999998687916133
1,0.9275,0.9999938011169434,0.9999999927003691
1,1.0,0.9999938011169434,0.9999999976894896
1,0.815,0.9908273816108704,0.9994971910908659
1,0.615,0.9694660902023315,0.9992560307248637
1,1.0,0.9999656677246094,0.999999977736534
1,0.92,0.9993447661399841,0.9999997027969725
1,1.0,0.9999959468841553,0.9999999988399721
1,0.028417530919796534,0.012476122006773949,0.00010298626628192299
1,0.3375,0.07871517539024353,0.000972580460755805
1,0.9025,0.9999313354492188,0.9999999273765392
1,1.0,0.9999257326126099,0.9999998317258582
1,0.99,0.9996247291564941,0.9999986630572051
1,0.995,0.999942421913147,0.999999852195894
1,1.0,0.9999665021896362,0.9999999851465362
1,0.985,0.9999693632125854,0.9999999888758139
1,0.6725,0.9942751526832581,0.9999690520643115
1,0.92,0.9993447661399841,0.9999997027969725
1,0.9975,0.9999785423278809,0.9999999862218749
1,0.295,0.19355957210063934,0.0013573241692111547
1,0.9825,0.9958296418190002,0.9999949634555397
1,0.8875,0.9998576641082764,0.9999996716763372
1,0.8675,0.99785977602005,0.9999645355063439
1,0.265,0.07531363517045975,0.021146759496600886
1,1.0,0.9992408752441406,0.9999994291244544
1,0.75,0.8792799115180969,0.9934548958974689
1,0.9675,0.9997896552085876,0.9999994896530058
1,0.9275,0.9999327659606934,0.9999996080659432
1,0.9575,0.9995520710945129,0.9999990577090534
1,1.0,0.9997965693473816,0.999999886084375
1,0.895,0.999962568283081,0.9999998308932598
1,0.86,0.9978936314582825,0.9999987521327678
1,0.8325,0.9996198415756226,0.999999834726049
1,0.9075,0.9998719692230225,0.9999999727410068
1,0.92,0.9993447661399841,0.9999997027969725
1,0.93,0.9995508790016174,0.9999994171719004
1,0.9575,0.9995520710945129,0.9999990577090534
1,0.9975,0.9994977712631226,0.9999991789379872
1,0.995,0.9998281002044678,0.9999999176505213
1,0.9875,0.9998770952224731,0.9999998576042505
1,0.98,0.9999860525131226,0.9999997854659707
1,1.0,0.9997974038124084,0.9999999357610158
1,0.995,0.999942421913147,0.999999852195894
1,0.9375,0.9997672438621521,0.9999966056132963
1,0.9025,0.9999313354492188,0.9999999273765392
1,0.895,0.999962568283081,0.9999998308932598
1,0.9975,0.9994004964828491,0.999999951474139
1,0.95,0.9999890327453613,0.9999999768203288
1,0.405,0.9011315107345581,0.992740958947683
1,0.9575,0.9992369413375854,0.999996739349769
1,0.9375,0.9995808005332947,0.9999865849151761
1,0.975,0.9999339580535889,0.9999998154652562
1,0.895,0.999962568283081,0.9999998308932598
1,0.9875,0.9998255372047424,0.9999995622779474
1,0.965,0.9992533326148987,0.9999989922677178
1,0.9475,0.9992772936820984,0.9999984715835449
1,0.075,0.015177454799413681,1.7777204246424772e-05
1,0.92,0.9993447661399841,0.9999997027969725
1,0.9625,0.9908477067947388,0.999984632607591
1,0.9857414350071808,0.9995525479316711,0.9999992273548096
1,0.9375,0.9994113445281982,0.9999982770782769
1,0.92,0.9993447661399841,0.9999997027969725
1,0.9875,0.9998770952224731,0.9999998576042505
1,1.0,0.9998306035995483,0.9999996743545198
1,0.9425,0.855324923992157,0.9924776923095632
1,0.9275,0.9999938011169434,0.9999999927003691
